Model,MAE,RMSE,R2
Random Forest,31.682979478084622,67.15346932860581,0.5493607082737868
Gradient Boosting,47.23732804393867,85.73168341210125,0.26552866646395235
Ridge Regression,52.4439172087157,91.12436584159313,0.170223397390742
Linear Regression,52.448955544575135,91.12555185013791,0.17020179771131105
